pH,Temp,TSS,NO3,PO4,COD,BOD,E.coli
7.83,21.13,784.74,10.48,39.956,113.984,21.36,127200
7.64,21.91,632.58,8.4,25.704,99.2,19.84,103680
7.72,22.37,1369.4,11.44,35.784,125.656,22.16,148320
7.79,22.86,843.74,7.64,30.968,93.552,19.04,97280
7.79,23.35,944.66,9.04,29.764,116.192,21.44,130080
7.64,22.17,765.06,9.2,33.292,63.68,14.56,64800
7.84,22.53,963.56,10.76,27.496,111.248,20.4,113120
7.85,22.29,1276.4,6.28,31.556,154.776,24.8,177600
7.69,21.67,795.6,8.12,35.476,93.608,19.2,100320
7.75,22.38,884.06,11.28,39.788,126.28,23.12,151200
7.59,21.24,717.16,8.04,36.988,114.032,21.36,127360
7.65,22.48,719.24,9.84,24.416,90.4,18.4,92480
7.6,21.82,694.5,8.76,34.832,139.168,23.92,158080
7.81,22,908.4,9.96,32.9,97.184,19.36,100480
7.63,21.84,837.94,11.64,40.572,119.032,21.6,137600
7.65,21.93,1557.84,8.92,32.62,144.088,24.4,166560
7.67,21.38,633.96,9.96,37.352,109.44,20.4,117600
7.79,21.96,775.82,9.32,29.512,111.696,20.8,124320
6.79,21.06,714.96,8.52,39.06,91.624,18.88,97120
7.6,22,787.38,10.04,36.4,99.992,19.84,105920
6.89,21.82,1169.5,10.68,40.124,125.816,22.48,148320
7.64,22.27,838.74,11.6,34.16,126.256,22.56,151040
7.19,22.67,969.64,9.72,42.336,87.88,18.16,91840
7.93,22.04,966.66,9.96,33.292,100.856,20,107040
7.17,21.94,1036.74,13.56,37.716,111.36,20.56,120640
7.69,21.63,802.26,9.2,29.708,102.472,20.32,113920
7.64,22.78,841.7,13.8,35.532,68.024,16.72,76800
7.59,22.37,695.94,8.44,32.256,161.064,25.2,195840
7.76,22.28,1073.34,9.6,40.712,116.184,21.36,129120
7.29,21.79,890.08,10.04,41.328,117.752,21.52,131520
7.72,22,793.96,7.88,32.312,70.552,16.88,79200
7.68,21.94,760.66,6.84,34.776,93.6,19.12,97600
7.62,21.87,1088,7.84,31.584,122.104,22.08,143840
7.63,21.45,646.5,7.6,26.488,91.344,18.64,92960
7.77,22.71,979.08,11.32,27.58,101.544,20.24,113120
7.59,21.93,783.96,8.92,38.08,113.68,20.96,126240
7.76,21.86,1236.94,8.4,33.18,125.656,22.16,146720
7.7,21.68,761.84,9,29.736,121.384,21.92,142080
7.75,22.1,859.32,8.6,33.292,82.632,17.68,89600
7.53,21.52,858.56,10.16,43.4,99.992,19.84,105920
7.65,21.97,860.02,8.64,37.52,111.616,20.72,121760
7.53,22.38,791.78,10.44,35.84,119.296,21.6,137760
7.64,21.89,817.62,9.44,38.976,93.608,19.2,100320
7.71,22.92,1068.3,8.28,27.664,126.256,22.56,151040
7.65,21.53,859.62,9.24,37.52,63.68,14.56,64800
7.75,22.89,909.26,8.88,32.088,113.984,21.36,127200
7.74,23.03,907.26,8.64,36.204,127.04,23.2,152800
7.79,21.6,860.58,10.2,33.768,111.248,20.4,113120
7.41,22.24,745.76,9.28,31.948,142.024,24.24,158240
7.69,21.9,1217.2,8.32,36.064,154.776,24.8,177600
7.64,21.96,1162.92,10.28,39.508,144.088,24.4,166560
7.46,21.87,1366,12.44,47.46,149.976,24.48,167360
7.73,22.26,837.16,10.08,34.272,80.216,17.28,79200
7.75,22.39,798.22,10.12,30.38,97.184,20,120320
7.81,22.15,776.08,9.92,25.032,90.4,17.68,89600
7.81,22.36,893.04,9.12,34.468,111.616,20.4,126240
7.35,22.47,1021,11.36,51.94,161.064,24.4,195840
6.96,22.37,710.66,11.6,30.016,80.216,21.92,166560
7.61,22.45,619.44,6.16,25.368,70.552,18.88,117760
7.87,20.94,662.08,10.68,43.68,116.192,24.4,143840
7.86,22.78,1045.78,11.8,28.56,139.168,19.84,100320
