pH,Temp,TDS,NO3,PO4,COD,BOD,E.coli
7.71,22.21,1366.256,37.57,80.71,567.12,70.76,560800
7.18,21.86,1555.16,47.94,111.79,745.76,100.05,1054400
7.89,21.63,1477.368,37.4,81.69,537.16,72.21,562400
7.71,22.93,1239.912,28.73,68.04,441.52,67.57,638400
7.75,22.46,1490.322,30.77,86.38,453,60.9,428800
7.62,22.55,1373.668,43.01,90.93,582.84,73.08,599200
7.89,21.93,1538.398,40.8,69.58,545,70.47,579200
6.89,22.3,1713.974,66.13,88.13,748.44,94.25,1132000
7.09,21.09,1276.7,40.46,98.63,748.8,101.79,1076000
7.65,22.28,1423.614,42.5,93.31,616.6,83.23,787200
7.68,22.4,1383.086,52.02,86.38,600.84,82.94,724800
7.71,22.39,1228.93,34.17,69.02,428.28,62.64,452000
7.92,21.97,1465.4,44.03,70.56,539.72,73.66,650400
8.08,22.43,1668.278,42.5,74.48,569.6,71.63,617600
7.62,22.06,1102.654,35.53,68.39,350.4,65.83,516800
7.27,21.56,1527.144,40.63,95.27,649.72,87.29,857600
7.78,21.95,1227.4,41.65,54.32,362.12,63.8,429600
7.85,22.88,1618.094,42.33,91.77,566.44,66.99,603200
7.75,22.29,1282.004,32.98,73.01,405,67.86,565600
7.77,22.09,1489.03,41.99,91.63,575.92,76.27,639200
8.05,23.35,1714.96,43.69,82.81,581.12,64.67,630400
7.37,22.81,1365.95,45.39,87.78,533.04,75.69,800800
7.79,22.42,1475.634,37.91,91.56,582.68,77.72,741600
7.84,20.16,1184.9,29.92,92.19,300.8,83.81,720800
7.67,22.09,1402.296,40.97,83.72,575.36,73.95,597600
7.66,21.61,1455.778,44.37,92.96,651.32,89.61,868000
7.68,23.09,1467.236,39.78,90.37,613.96,67.86,645600
7.64,21.98,1501.372,40.97,94.85,613.88,79.75,754400
7.79,21.33,1191.768,43.69,83.86,478.52,75.98,544800
7.56,22.1,1141.992,28.39,75.88,390.4,64.38,429600
7.68,22.02,1258.782,38.42,80.64,496.96,76.56,654400
7.75,22.08,1458.736,45.73,83.51,600.64,82.07,723200
7.64,22.12,1161.746,33.83,76.58,417.16,73.37,636800
7.84,23.34,1447.006,38.25,75.18,508.04,65.83,632800
7.87,22.57,1591.37,33.49,80.08,503.92,60.32,417600
7.75,21.31,1351.33,44.88,96.6,610.68,82.07,653600
7.58,21.46,1165.452,35.19,86.8,452.8,77.14,669600
7.71,22.51,1666.136,48.11,85.26,671.64,72.79,558400
7.71,22.5,1283.772,36.89,64.68,429.52,59.45,403200
7.52,23.2,1387.812,49.64,69.58,543.48,80.04,508800
6.91,23.11,1163.82,28.22,78.05,442.88,86.13,1140800
7.73,22.04,1462.272,47.43,87.85,585.92,77.43,697600
7.66,22.55,1385.874,34.34,80.71,539.16,60.03,384800
7.63,22.05,1517.318,44.71,92.68,678.8,87.29,785600
7.64,22.35,1293.19,51.85,80.85,516,81.2,690400
7.53,22.47,1296.522,50.66,73.64,514.12,74.53,728800
7.88,22.7,1634.516,51.34,76.58,609.12,71.34,551200
7.66,21.75,986,26.86,65.59,334.72,66.41,414400
7.66,22.59,1354.016,41.65,69.72,521.72,68.73,459200
7.59,21.89,1446.02,37.57,88.83,655.56,84.68,802400
8.09,22.8,1548.428,55.59,75.81,514.12,66.7,559200
7.86,22.83,1418.14,58.99,92.4,631.2,81.49,744800
7.29,20.8,663,30.77,120.4,166.4,94.54,1030400
7.66,22.43,1572.024,44.88,92.47,669.04,81.49,775200
7.8,23.12,1658.724,34,87.15,596.72,61.48,470400
7.77,22.74,1338.002,51,87.36,582.28,75.11,644800
7.91,20.57,1095.65,31.28,96.81,380.8,90.19,857600
7.56,22.32,1221.246,43.01,79.8,486.12,75.11,655200
7.77,21.65,1332.8,44.2,72.24,409.6,77.72,727200
7.71,22.68,1163.786,35.36,59.64,437.08,60.32,438400
7.8,22.86,1629.994,42.33,100.66,606.84,72.79,780000
