pH,Temp,TDS,NO3,PO4,COD,BOD,E.coli
7.4496,21.12,377.52,7.956,14.2272,74.88,8.8296,139963.2
6.9024,21.024,388.128,10.14,20.8728,92.976,15.6,247665.6
7.5936,20.832,368.784,9.36,14.196,83.928,10.9824,140368.8
7.4208,21.984,321.36,7.176,10.92,65.832,8.4552,149385.6
7.4592,21.504,387.816,7.176,14.352,70.2,7.6128,100339.2
7.3248,21.6,362.856,9.516,16.224,77.064,9.672,140212.8
7.584,21.024,383.76,10.14,14.352,76.44,10.9824,135532.8
6.624,21.408,427.44,12.324,19.032,93.288,14.664,264888
6.8064,20.256,355.68,10.14,22.776,93.288,15.912,253344
7.3536,21.408,374.4,10.296,21.528,76.752,12.636,196485.12
6.6048,19.264,369.72,11.856,16.224,74.88,12.792,169603.2
6.6392,19.264,326.04,8.58,14.664,56.16,9.984,112819.2
6.8198,18.92,380.64,10.92,15.444,84.24,11.544,152380.8
6.9574,19.264,414.96,10.452,16.224,88.92,10.92,144518.4
6.5618,19.006,307.32,8.736,14.04,54.6,10.296,120931.2
6.2608,18.576,380.64,10.14,20.904,84.24,13.572,200678.4
6.6994,18.92,307.32,10.296,10.92,56.16,9.984,100526.4
6.751,19.694,404.04,10.608,17.16,88.296,11.232,141148.8
6.6564,19.178,343.2,8.268,13.416,63.024,10.296,132350.4
6.6822,19.006,385.32,9.984,18.72,89.544,11.856,149572.8
7.6475,22.135,460.32,11.424,16.464,97.44,10.752,158860.8
7.0015,21.66,389.76,12.264,17.808,87.36,12.6,215255.04
7.41,21.28,416.64,10.08,19.488,95.76,12.768,186883.2
7.448,19.19,346.08,7.896,15.456,40.32,13.944,181641.6
7.296,20.995,409.92,10.752,18.48,96.768,12.432,160634.88
7.277,20.52,416.64,11.76,21.84,109.2,15.0528,218736
7.296,21.945,414.96,10.584,18.48,102.816,11.088,173537.28
7.258,20.9,430.08,10.752,21.168,102.816,13.4064,190108.8
7.4005,20.235,346.08,11.424,18.816,79.968,12.6,137289.6
7.182,20.995,342.72,7.392,17.808,65.52,10.8192,108259.2
7.296,20.9,369.6,10.248,16.8,83.328,12.8688,164908.8
7.3625,20.995,416.64,12.096,17.64,100.8,13.776,182246.4
7.258,20.995,330.96,9.072,16.128,70.56,12.3312,160473.6
7.448,22.135,416.64,10.248,16.128,85.68,11.0544,159465.6
7.4765,21.47,463.68,9.072,16.8,85.008,10.1472,105369.6
7.3625,20.235,389.76,11.928,24.192,102.48,13.776,164908.8
7.201,20.425,360.8,9.856,19.36,79.552,13.5872,176774.4
7.334,21.375,468.16,13.552,20.768,94.336,12.8128,157245.44
7.3245,21.375,390.72,10.384,17.952,60.544,10.4544,113541.12
7.144,22.04,394.24,13.904,19.36,82.72,14.08,143278.08
6.7718,22.638,360.8,7.92,21.824,63.36,15.136,301171.2
7.5754,21.56,436.48,13.376,21.472,102.432,13.6224,196444.16
7.5068,22.148,387.2,9.504,15.84,88,10.56,108359.68
7.4774,21.658,450.56,12.496,22.88,114.4,15.136,221224.96
7.4872,21.952,380.16,14.432,17.6,90.816,14.2912,182476.8
7.3794,22.05,383.68,14.256,16.896,90.464,13.1296,192403.2
7.7224,22.246,478.72,14.432,16.896,107.36,12.5664,155161.6
7.5068,21.364,308,7.568,14.784,58.784,11.6864,109486.08
6.8174,22.148,401.28,11.616,16.544,91.52,12.1088,129761.28
6.7551,21.462,432.96,10.56,20.416,115.456,14.8896,225955.84
7.2001,22.344,436.48,14.608,19.36,90.464,11.7568,157470.72
6.9954,22.344,422.4,16.192,21.824,110.88,14.3264,196627.2
6.4881,20.384,186.56,8.448,21.12,23.408,16.6496,272870.4
6.8174,21.952,440,11.968,21.472,117.92,14.3264,204652.8
6.942,22.638,466.4,9.504,21.12,104.896,10.8064,132633.6
6.9153,22.246,376.64,14.256,21.472,100.32,13.2,180167.68
7.0399,20.188,306.24,8.8,25.344,66.88,15.8752,241500.16
6.7284,21.854,385.44,11.968,18.656,85.536,13.2,184504.32
6.9153,21.266,397.76,12.32,17.248,72.16,13.6928,204779.52
6.8619,22.246,346.72,10.032,13.728,76.736,10.6304,123453.44
6.942,22.442,457.6,11.792,28.16,106.656,12.8128,219648
