pH,Temp,TDS,NO3,PO4,COD,BOD,E.coli
6.939,19.989,1229.6304,33.813,72.639,510.408,63.684,504720
6.462,19.674,1399.644,43.146,100.611,671.184,90.045,948960
7.101,19.467,1329.6312,33.66,73.521,483.444,64.989,606160
6.939,20.637,1115.9208,25.857,61.236,397.368,60.813,574560
6.975,20.214,1341.2898,27.693,77.742,407.7,54.81,385920
6.858,20.295,1236.3012,38.709,81.837,524.556,65.772,539280
7.3377,20.3949,1430.71014,37.944,64.7094,506.85,65.5371,538656
6.4077,20.739,1593.99582,61.5009,81.9609,696.0492,87.6525,852760
6.5937,19.6137,1187.331,37.6278,91.7259,696.384,94.6647,1000680
7.1145,20.7204,1323.96102,39.525,86.7783,573.438,77.4039,732096
7.1424,20.832,1286.26998,48.3786,80.3334,558.7812,77.1342,674064
7.1703,20.8227,1142.9049,31.7781,64.1886,398.3004,58.2552,420360
7.3656,20.4321,1362.822,40.9479,65.6208,501.9396,68.5038,604872
7.0296,19.5141,1451.40186,36.975,64.7976,495.552,62.3181,537312
6.6294,19.1922,959.30898,30.9111,59.4993,304.848,57.2721,449616
6.3249,18.7572,1328.61528,35.3481,82.8849,565.2564,75.9423,746112
6.7686,19.0965,1067.838,36.2355,47.2584,315.0444,55.506,373752
6.8295,19.9056,1407.74178,36.8271,79.8399,492.8028,58.2813,524784
6.7425,19.3923,1115.34348,28.6926,63.5187,352.35,59.0382,562072
6.7599,19.2183,1295.4561,36.5313,79.7181,501.0504,66.3549,556104
7.0035,20.3145,1492.0152,38.0103,72.0447,505.5744,56.2629,548448
6.4119,19.8447,1188.3765,39.4893,76.3686,463.7448,65.8503,726696
6.7773,19.5054,1283.80158,32.9817,79.6572,506.9316,67.6164,645192
6.8208,17.5392,1030.863,26.0304,80.2053,261.696,72.9147,627096
6.6729,19.2183,1219.99752,35.6439,72.8364,500.5632,64.3365,519912
6.6642,18.8007,1266.52686,38.6019,80.8752,566.6484,77.9607,755160
6.6816,20.0883,1276.49532,34.6086,78.6219,534.1452,59.0382,561672
7.4108,21.3206,1456.33084,39.7409,92.0045,595.4636,77.3575,731768
7.5563,20.6901,1156.01496,42.3793,81.3442,464.1644,73.7006,528456
7.3332,21.437,1107.73224,27.5383,73.6036,378.688,62.4486,416712
7.4496,21.3594,1221.01854,37.2674,78.2208,482.0512,74.2632,634768
7.5175,21.4176,1414.97392,44.3581,81.0047,582.6208,79.6079,701504
7.4108,21.4564,1126.89362,32.8151,74.2826,404.6452,71.1689,617696
7.6048,22.6398,1403.59582,37.1025,72.9246,492.7988,63.8551,613816
7.6339,21.8929,1543.6289,32.4853,77.6776,488.8024,58.5104,405072
7.5175,20.6707,1310.7901,43.5336,93.702,592.3596,79.6079,633992
7.3526,20.8162,1130.48844,34.1343,84.196,439.216,74.8258,649512
7.4787,21.8347,1616.15192,46.6667,82.7022,651.4908,70.6063,541648
7.4787,21.825,1245.25884,35.7833,62.7396,416.6344,57.6665,491104
7.2944,22.504,1346.17764,48.1508,67.4926,527.1756,77.6388,493536
6.7027,22.4167,1128.9054,27.3734,75.7085,429.5936,83.5461,1106576
7.2662,21.3788,1418.40384,46.0071,85.2145,568.3424,75.1071,676672
7.4302,21.8735,1344.29778,33.3098,78.2887,522.9852,58.2291,473256
7.4011,21.3885,1471.79846,43.3687,89.8996,658.436,84.6713,762032
7.4108,21.6795,1254.3943,50.2945,78.4245,500.52,78.764,669688
7.3041,21.7959,1257.62634,49.1402,71.4308,498.6964,72.2941,706936
7.6436,22.019,1585.48052,49.7998,74.2826,590.8464,69.1998,534664
7.4302,21.0975,956.42,26.0542,63.6223,324.6784,64.4177,601968
7.4302,21.9123,1313.39552,40.4005,67.6284,506.0684,66.6681,545424
7.3623,21.2333,1402.6394,36.4429,86.1651,635.8932,82.1396,778328
7.8473,22.116,1501.97516,53.9223,73.5357,498.6964,64.699,542424
7.6242,22.1451,1375.5958,57.2203,89.628,612.264,79.0453,722456
7.0713,20.176,643.11,29.8469,116.788,161.408,91.7038,999488
7.4302,21.7571,1524.86328,43.5336,89.6959,648.9688,79.0453,751944
7.566,22.4264,1608.96228,32.98,84.5355,578.8184,59.6356,456288
7.5369,22.0578,1297.86194,49.47,84.7392,564.8116,72.8567,625456
7.6727,19.9529,1062.7805,30.3416,93.9057,369.376,87.4843,831872
7.3332,21.6504,1184.60862,41.7197,77.406,471.5364,72.8567,635544
7.5369,21.0005,1292.816,42.874,70.0728,397.312,75.3884,705384
7.4787,21.9996,1128.87242,34.2992,57.8508,423.9676,58.5104,525248
7.566,22.1742,1581.09418,41.0601,97.6402,588.6348,70.6063,756600
