pH,Temp,TSS,NO3,PO4,COD,BOD,E.coli
7.1253,19.2283,698.4186,9.3272,35.56084,101.44576,19.0104,113208
6.9524,19.9381,562.9962,7.476,22.87656,88.288,17.6576,92275.2
7.0252,20.3567,1218.766,10.1816,31.84776,111.83384,19.7224,132004.8
7.0889,20.8026,750.9286,6.7996,27.56152,83.26128,16.9456,86579.2
7.0889,21.2485,840.7474,8.0456,26.48996,103.41088,19.0816,115771.2
6.9524,20.1747,680.9034,8.188,29.62988,56.6752,12.9584,57672
7.1344,20.5023,857.5684,9.5764,24.47144,99.01072,18.156,100676.8
6.9865,19.8381,1135.996,5.5892,28.08484,137.75064,22.072,158064
6.8441,19.2863,692.172,7.0644,30.86412,81.43896,16.704,87278.4
6.8975,19.9182,769.1322,9.8136,34.61556,109.8636,20.1144,131544
6.7551,18.9036,623.9292,6.9948,32.17956,99.20784,18.5832,110803.2
6.8085,20.0072,625.7388,8.5608,21.24192,78.648,16.008,80457.6
6.764,19.4198,604.215,7.6212,30.30384,121.07616,20.8104,137529.6
6.9509,19.58,790.308,8.6652,28.623,84.55008,16.8432,87417.6
6.7907,19.4376,729.0078,10.1268,35.29764,103.55784,18.792,119712
7.1145,20.3949,1417.6344,7.7604,28.3794,125.35656,21.228,144907.2
7.1331,19.8834,576.9036,8.6652,32.49624,95.2128,17.748,102312
7.2447,20.4228,705.9962,8.1084,25.67544,97.17552,18.096,108158.4
6.3147,19.5858,650.6136,7.4124,33.9822,79.71288,16.4256,84494.4
7.068,20.46,716.5158,8.7348,31.668,86.99304,17.2608,92150.4
6.4077,20.2926,1064.245,9.2916,34.90788,109.45992,19.5576,129038.4
7.1052,20.7111,763.2534,10.092,29.7192,109.84272,19.6272,131404.8
6.8305,21.5365,882.3724,8.4564,36.83232,76.4556,15.7992,79900.8
7.5335,20.938,898.9938,9.2628,30.96156,93.79608,18.6,99547.2
6.8115,20.843,964.1682,12.6108,35.07588,103.5648,19.1208,112195.2
7.3055,20.5485,746.1018,8.556,27.62844,95.29896,18.8976,105945.6
7.258,21.641,782.781,12.834,33.04476,63.26232,15.5496,71424
7.2105,21.2515,647.2242,7.8492,29.99808,149.78952,23.436,182131.2
7.372,21.166,998.2062,8.928,37.86216,108.05112,19.8648,120081.6
6.2694,18.7394,827.7744,9.3372,38.43504,109.50936,20.0136,122313.6
6.6392,18.92,730.4432,7.2496,29.72704,64.90784,15.5296,72864
6.6048,18.8684,699.8072,6.2928,31.99392,86.112,17.5904,89792
6.5532,18.8082,1000.96,7.2128,29.05728,112.33568,20.3136,132332.8
6.5618,18.447,594.78,6.992,24.36896,84.03648,17.1488,85523.2
6.6822,19.5306,900.7536,10.4144,25.3736,93.42048,18.6208,104070.4
6.5274,18.8598,721.2432,8.2064,35.0336,104.5856,19.2832,116140.8
7.4496,20.9856,1137.9848,7.728,30.5256,115.60352,20.3872,134982.4
7.392,20.8128,700.8928,8.28,27.35712,111.67328,20.1664,130713.6
7.44,21.216,790.5744,7.912,30.62864,76.02144,16.2656,82432
7.2288,20.6592,789.8752,9.3472,39.928,91.99264,18.2528,97446.4
7.344,21.0912,791.2184,7.9488,34.5184,102.68672,19.0624,112019.2
7.2288,21.4848,728.4376,9.6048,32.9728,109.75232,19.872,126739.2
7.3344,21.0144,752.2104,8.6848,35.85792,86.11936,17.664,92294.4
7.4016,22.0032,982.836,7.6176,25.45088,116.15552,20.7552,138956.8
7.344,20.6688,790.8504,8.5008,34.5184,58.5856,13.3952,59616
7.44,21.9744,836.5192,8.1696,29.52096,104.86528,19.6512,117024
7.4304,22.1088,834.6792,7.9488,33.30768,116.8768,21.344,140576
7.4784,20.736,851.9742,10.098,33.43032,110.13552,20.196,111988.8
6.7431,20.2384,738.3024,9.1872,31.62852,110.13552,23.9976,156657.6
6.9979,19.929,1205.028,8.2368,35.70336,153.22824,24.552,175824
6.9524,19.9836,1151.2908,10.1772,39.11292,142.64712,24.156,164894.4
6.7886,19.9017,1352.34,12.3156,46.9854,148.47624,24.2352,165686.4
7.0343,20.2566,828.7884,9.9792,33.92928,79.41384,17.1072,78408
7.0525,20.3749,790.2378,10.0188,30.0762,96.21216,19.8,119116.8
7.1071,20.1565,636.3856,8.1344,20.52624,74.128,14.4976,73472
7.1071,20.3476,732.2928,7.4784,28.26376,91.52512,16.728,103516.8
6.6885,20.4477,837.22,9.3152,42.5908,132.07248,20.008,160588.8
6.3336,20.3567,582.7412,9.512,24.61312,65.77712,17.9744,136579.2
6.9251,20.4295,507.9408,5.0512,20.80176,57.85264,15.4816,96563.2
7.1617,19.0554,542.9056,8.7576,35.8176,95.27744,20.008,117948.8
7.1526,20.7298,857.5396,9.676,23.4192,114.11776,16.2688,82262.4
