pH,Temp,TSS,NO3,PO4,COD,BOD,E.coli
7.029,19.017,3312.977,36.888,128.7158,496.8432,197.584,832100
6.858,19.719,2807.834,31.376,108.279,458.026,182.108,952304
6.93,20.133,5189.336,41.234,122.7692,555.0796,213.272,946156
6.993,20.574,3517.345,29.044,115.858,425.9504,168.116,695148
6.984,21.015,3799.252,33.072,111.0668,508.0156,200.764,861144
7.0012,20.3964,2838.423,31.85,116.2672,349.7816,146.216,586236
7.1944,20.7276,3646.972,34.986,96.4614,452.319,177.968,718732
7.2036,20.5068,4420.584,23.128,109.5836,590.4304,221.284,1032920
7.0564,19.9364,2993.018,28.322,117.3648,390.7652,156.996,650916
7.1116,20.5896,3379.922,36.456,119.854,517.8712,206.388,799484
6.9644,19.5408,2759.043,27.244,122.1472,462.9128,184.632,765576
7.0196,20.6816,2832.396,32.438,92.2964,378.672,151.704,609168
6.7462,19.4198,2713.13,29.89,114.4052,545.6836,210.308,949032
6.9331,19.58,3422.846,34.104,108.7016,407.288,159.152,956676
6.7729,19.4376,3146.633,39.396,127.204,491.2348,188.944,826728
6.7907,19.5177,5399.424,30.336,109.2,563.8464,215.232,971904
6.8085,19.0282,2568.576,32.448,119.4624,434.688,172.416,726528
6.9153,19.5444,2832.384,31.104,97.7856,439.8144,174.72,743232
6.0253,18.7434,2731.104,28.608,123.5904,374.5152,152.448,622656
7.2768,19.58,2692.517,35.04,115.968,402.0096,160.704,674688
6.5952,19.4198,3747.701,36.384,126.1824,503.136,197.376,866304
7.3152,19.8203,2837.765,38.784,110.688,508.4736,199.488,879360
6.8832,20.1763,3215.303,33.696,133.2,361.3824,143.232,577344
7.5936,19.6156,3151.3565,33.408,108.1248,409.2288,161.856,686592
6.864,19.5266,3466.906,43.776,121.8336,444.576,174.912,751296
7.3632,19.2507,2740.132,30.144,99.3984,419.0592,167.424,710208
6.5532,20.2742,3000.087,44.448,112.9152,349.6128,136.896,557184
6.5102,19.9093,2553.036,28.704,104.2944,593.9904,227.328,1063872
6.6564,19.8292,3707.631,32.16,125.2032,459.936,180.864,776256
6.2522,19.3931,3218.358,33.792,129.216,468.768,182.976,791424
6.622,19.58,2779.398,26.496,106.3872,358.0224,140.544,570432
6.5876,19.5266,2674.122,23.808,113.2224,382.464,154.176,622848
6.536,19.4643,3818.394,27.36,105.2736,489.3312,191.232,838656
6.5446,19.0905,2409.444,26.112,94.7904,375.2448,149.184,601152
7.6725,22.4829,3450.858,37.824,95.8656,421.3824,169.152,718272
7.4943,21.7107,2807.112,29.376,122.688,451.776,178.944,758016
7.6626,21.6414,4211.226,27.744,110.1408,500.7936,196.224,856128
7.6032,21.4632,2663.985,29.856,99.4944,487.2192,190.848,830592
7.6527,21.879,3054.771,28.416,108.1344,346.368,138.432,552384
7.4349,21.3048,3108.153,34.944,136.608,402.0096,160.704,674688
7.5537,21.7503,3076.812,28.608,121.6704,439.5456,174.336,739584
7.6602,22.8276,2781.351,34.272,114.1824,478.3104,185.472,812352
7.7724,22.3278,2896.857,31.104,122.304,382.7904,153.792,637632
7.8438,23.3784,3650.994,27.744,96.2496,508.4736,199.488,879360
7.7826,21.9606,3050.772,29.952,121.6704,342.6432,143.232,574272
7.8846,23.3478,3264.672,29.184,104.8128,449.9712,178.944,753600
7.8744,23.4906,3232.308,28.608,116.5056,510.336,203.52,898176
7.0707,19.656,3092.436,34.752,108.576,443.088,174.336,704064
6.7249,20.2384,2595.444,30.528,104.16,556.224,213.504,962496
6.9797,19.929,4108.926,28.416,116.1216,578.3808,216.768,1011840
6.9342,19.9836,3934.272,35.328,124.2624,563.8464,215.232,971904
6.7704,19.9017,4516.266,40.8,148.0896,587.616,220.224,1041024
7.0161,20.2566,2944.194,34.944,111.0144,335.0016,132.864,539328
7.0343,20.3749,2776.608,31.648,88.7004,357.416,144.996,615416
7.0889,20.1565,2695.512,29.756,79.8424,332.304,133.128,534576
7.0889,20.3476,3186.645,27.348,100.6372,393.7596,156.176,662544
6.6703,20.4477,3560.412,34.228,144.996,532.1164,197.628,953052
6.3154,20.3567,2572.287,34.83,87.0664,300.1056,170.968,870664
6.9069,20.4295,2315.328,20.468,82.6632,320.7284,137.772,650848
7.1435,19.0554,2449.992,32.594,122.9456,412.1636,191.436,751296
7.1344,20.7298,3638.718,35.432,89.612,478.8652,162.024,571212
